,station_name,installed_capacity,planned_capacity,winter_valley_18_19,winter_peak_18_19,summer_valley_18_19,summer_peak_18_19,winter_valley_16_17,winter_peak_16_17,summer_valley_16_17,summer_peak_16_17
9,Abbeyfeale,15,15,5.2,5.8,0.0,0.2,2.5,3.4,1.2,2.3
10,Abbeyfeale,5,5,2.2,3.0,0.0,0.0,2.5,3.4,1.2,2.3
11,Abbeyfeale,,,2.2,3.4,0.0,0.0,2.2,2.7,0.8,1.5
12,Abbeyfeale,,,1.6,2.4,0.0,0.0,1.6,1.6,0.8,1.5
13,Abbeyfeale,,,0.5,1.0,0.0,0.0,0.6,1.1,,
14,Abbeyfeale,,,0.0,0.0,0.0,0.0,0.0,0.0,,
15,Abbeyfeale,10,10,3.0,2.8,0.0,0.2,,,,
16,Abbeyfeale,,,3.0,3.2,0.7,1.3,1.4,1.9,0.5,1.4
17,Abbeyfeale,,,0.0,0.0,0.2,0.4,1.4,1.9,0.5,1.4
18,Abbeyfeale,,,0.8,0.7,0.3,0.5,,,,
19,Abbeyfeale,,,,,,,,,,
20,Abbeyfeale,,,1.7,1.7,0.2,0.4,,,,
21,Abbeyfeale,,,0.5,0.8,0.0,0.0,,,,
22,Abbeyland,20,20,9.7,11.0,2.8,8.0,9.4,10.7,2.6,7.9
23,Abbeyland,10,10,6.6,7.1,1.8,5.6,9.4,6.8,1.6,5.5
24,Abbeyland,,,6.4,7.0,1.9,5.5,6.4,6.8,1.7,5.5
25,Abbeyland,,,2.6,2.8,0.7,2.4,2.5,2.7,0.6,2.3
26,Abbeyland,,,2.9,2.6,0.8,2.3,2.9,2.5,0.8,2.5
27,Abbeyland,,,0.9,1.6,0.4,0.7,1.0,1.6,0.4,0.8
28,Abbeyland,10,10,3.1,3.9,1.0,2.3,0.0,3.9,1.0,2.4
29,Abbeyland,,,3.3,4.3,1.1,2.5,3.1,4.1,1.1,2.7
30,Abbeyland,,,1.3,1.9,0.5,1.2,1.4,2.2,0.5,1.1
31,Abbeyland,,,0.8,0.7,0.3,0.6,0.8,0.7,0.3,0.7
32,Abbeyland,,,1.2,1.6,0.3,0.8,0.9,1.2,0.3,0.9
33,Academy Street,20,20,12.7,17.4,0.0,0.0,11.9,16.4,4.5,9.6
34,Academy Street,5,5,3.4,5.2,0.0,0.0,3.0,4.7,1.4,2.4
35,Academy Street,,,3.2,5.4,0.0,0.0,3.1,5.1,,
36,Academy Street,,,2.2,3.7,0.0,0.0,1.7,2.7,,
37,Academy Street,,,0.0,0.0,0.0,0.0,0.6,0.9,,
38,Academy Street,,,1.0,1.8,0.0,0.0,0.8,1.5,,
39,Academy Street,5,5,3.4,5.1,0.0,0.0,3.1,4.7,1.4,2.5
40,Academy Street,,,3.5,4.8,0.0,0.0,2.8,4.1,,
41,Academy Street,,,2.2,2.8,0.0,0.0,1.8,2.4,,
42,Academy Street,,,1.3,2.0,0.0,0.0,1.0,1.7,,
43,Academy Street,,,5.9,7.1,0.0,0.0,5.8,7.0,1.8,4.8
44,Academy Street,10,10,,,,,,,,
45,Academy Street,,,6.1,7.3,0.0,0.0,5.8,6.8,,
46,Academy Street,,,1.7,1.7,0.0,0.0,1.6,1.5,,
47,Academy Street,,,1.0,1.2,0.0,0.0,0.9,1.2,,
48,Academy Street,,,2.2,3.5,0.0,0.0,2.0,3.5,,
49,Academy Street,,,,,,,,0.7,,
50,Academy Street,,,1.2,0.9,0.0,0.0,1.3,,,
51,Achill,5,5,2.0,2.6,1.4,1.8,,,,
52,Achill,5,5,2.0,2.6,1.4,1.8,,,,
53,Achill,,,2.1,2.6,1.4,1.8,1.9,2.7,1.4,1.9
54,Achill,,,1.5,1.8,1.0,1.2,1.4,1.9,1.0,1.2
55,Achill,,,0.6,0.8,0.4,0.6,0.6,0.8,0.5,0.7
56,Aghada,5,5,1.0,1.7,0.6,1.0,,,,
57,Aghada,5,5,1.0,1.7,0.6,1.0,,,,
58,Aghada,,,0.9,1.7,0.6,1.0,0.9,1.5,0.7,1.0
59,Aghada,,,0.9,1.7,0.6,1.0,0.9,1.5,0.7,1.0
60,Aghagad,10,9,2.1,3.2,0.9,1.4,1.5,2.6,0.7,1.5
61,Aghagad,5,4.5,1.1,1.6,0.4,0.7,0.7,1.3,0.4,0.7
62,Aghagad,5,4.5,1.1,1.6,0.4,0.7,0.7,1.3,0.4,0.7
63,Aghagad,,,2.3,3.4,0.9,1.8,1.9,3.1,0.9,1.8
64,Aghagad,,,0.5,1.1,0.4,0.6,0.5,0.9,0.4,0.5
65,Aghagad,,,0.5,0.9,0.2,0.4,0.5,0.8,0.2,0.5
66,Aghagad,,,1.3,1.5,0.4,0.9,0.9,1.3,0.4,0.8
67,Aghamore,7,5,2.4,3.5,0.9,1.6,2.3,2.7,0.8,1.7
68,Aghamore,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Aghamore,5,5,2.4,3.5,0.9,1.6,2.3,2.7,0.8,1.7
70,Aghamore,,,,,,,2.4,3.8,0.5,1.0
71,Aghamore,,,2.6,3.7,0.5,0.9,,,,
72,Aghamore,,,,,,,1.3,1.8,0.0,0.0
73,Aghamore,,,1.3,1.8,0.0,0.0,,,,
74,Aghamore,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Aghamore,,,,,,,1.2,2.0,0.5,1.0
76,Aghamore,,,1.3,1.9,0.5,0.9,,,,
77,Aghaway,,,,,,,,,,
78,Aghaway,,,,,,,,,,
79,Aghaway,T141∥T142,,,,,,,,,
80,Aghaway,,,,,,,,,,
81,Ahane,15,15,4.8,4.5,1.2,2.9,,,,
82,Ahane,15,15,4.8,4.5,1.2,2.9,,,,
83,Ahane,,,4.6,4.4,1.2,2.8,3.8,4.7,1.1,3.0
84,Ahane,,,0.9,1.5,0.4,0.6,0.9,1.6,0.4,0.7
85,Ahane,,,1.1,0.6,0.2,0.7,0.8,0.5,0.2,0.5
86,Ahane,,,0.7,0.5,0.2,0.6,1.0,0.9,0.2,0.8
87,Ahane,,,1.9,1.7,0.4,0.8,1.1,1.7,0.4,0.9
88,Ahane,,,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1
89,Airton,,,15.9,16.1,0.0,0.0,,,,
90,Airton,,,,,,,,,,
91,Airton,,,,,,,,,,
92,Airton,,,15.9,16.1,0.0,0.0,,,,
93,Analog,,,8.9,9.0,7.1,10.2,,,,
